X,CH1,
Second,Volt,
2.0699999e-05,7.20000e-01,
2.0799998e-05,7.20000e-01,
2.0899999e-05,5.60000e-01,
2.0999998e-05,4.80000e-01,
2.1099999e-05,3.60000e-01,
2.1200000e-05,3.20000e-01,
2.1299998e-05,2.40000e-01,
2.1399999e-05,2.40000e-01,
2.1499998e-05,1.20000e-01,
2.1599999e-05,1.20000e-01,
2.1699998e-05,4.00000e-02,
2.1799999e-05,4.00000e-02,
2.1899999e-05,8.00000e-02,
2.1999998e-05,8.00000e-02,
2.2099999e-05,-4.00000e-02,
2.2199998e-05,-4.00000e-02,
2.2299999e-05,1.20000e-01,
2.2400000e-05,8.00000e-02,
2.2499999e-05,-4.00000e-02,
2.2599999e-05,0.00000e+00,
2.2699998e-05,1.20000e-01,
2.2799999e-05,4.00000e-02,
2.2899998e-05,-4.00000e-02,
2.2999999e-05,8.00000e-02,
2.3099999e-05,0.00000e+00,
2.3199998e-05,-4.00000e-02,
2.3299999e-05,4.00000e-02,
2.3399998e-05,4.00000e-02,
2.3499999e-05,-4.00000e-02,
2.3599998e-05,4.00000e-02,
2.3699999e-05,-4.00000e-02,
2.3799999e-05,4.00000e-02,
2.3899998e-05,0.00000e+00,
2.3999999e-05,1.20000e-01,
2.4099998e-05,2.40000e-01,
2.4199999e-05,2.80000e-01,
2.4299998e-05,4.40000e-01,
2.4399998e-05,4.80000e-01,
2.4499999e-05,6.40000e-01,
2.4599998e-05,6.80000e-01,
2.4699999e-05,8.80000e-01,
2.4799998e-05,8.80000e-01,
2.4899999e-05,1.04000e+00,
2.4999999e-05,1.04000e+00,
2.5099998e-05,1.24000e+00,
2.5199999e-05,1.28000e+00,
2.5299998e-05,1.40000e+00,
2.5399999e-05,1.40000e+00,
2.5499998e-05,1.52000e+00,
2.5599998e-05,1.52000e+00,
2.5699999e-05,1.60000e+00,
2.5799998e-05,1.56000e+00,
2.5899999e-05,1.68000e+00,
2.5999998e-05,1.68000e+00,
2.6099999e-05,1.60000e+00,
2.6199998e-05,1.60000e+00,
2.6299998e-05,1.68000e+00,
2.6399999e-05,1.72000e+00,
2.6499998e-05,1.60000e+00,
2.6599999e-05,1.68000e+00,
2.6699998e-05,1.72000e+00,
2.6799999e-05,1.68000e+00,
2.6899999e-05,1.60000e+00,
2.6999998e-05,1.72000e+00,
2.7099999e-05,1.64000e+00,
2.7199998e-05,1.60000e+00,
2.7299999e-05,1.68000e+00,
2.7399998e-05,1.68000e+00,
2.7499998e-05,1.60000e+00,
2.7599999e-05,1.60000e+00,
2.7699998e-05,1.68000e+00,
2.7799999e-05,1.68000e+00,
2.7899998e-05,1.52000e+00,
2.7999999e-05,1.52000e+00,
2.8099998e-05,1.36000e+00,
2.8199998e-05,1.32000e+00,
2.8299999e-05,1.12000e+00,
2.8399998e-05,1.16000e+00,
2.8499999e-05,9.20000e-01,
2.8599998e-05,9.20000e-01,
2.8699998e-05,7.60000e-01,
2.8799999e-05,7.20000e-01,
2.8899998e-05,5.60000e-01,
2.8999999e-05,5.20000e-01,
2.9099998e-05,3.20000e-01,
2.9199999e-05,3.60000e-01,
2.9299998e-05,2.40000e-01,
2.9399998e-05,2.00000e-01,
2.9499999e-05,1.20000e-01,
2.9599998e-05,1.20000e-01,
2.9699999e-05,4.00000e-02,
2.9799998e-05,4.00000e-02,
2.9899998e-05,8.00000e-02,
